antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
cefotaxime,random_forest_balanced,amr__mpha,mpha,3,4.0,0.0226,0.0226
cefotaxime,random_forest_balanced,amr__cmy-2,cmy-2,3,4.6667,0.0213,0.0213
cefotaxime,random_forest_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,3,6.6667,0.0169,0.0169
cefotaxime,random_forest_balanced,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,3,7.3333,0.0152,0.0152
cefotaxime,random_forest_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,3,7.6667,0.0148,0.0148
cefotaxime,random_forest_balanced,amr__teta,teta,3,9.3333,0.0133,0.0133
cefotaxime,random_forest_balanced,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,3,10.6667,0.0118,0.0118
cefotaxime,random_forest_balanced,amr__ctx-m-14,ctx-m-14,3,11.0,0.0115,0.0115
cefotaxime,random_forest_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,3,13.0,0.0105,0.0105
cefotaxime,random_forest_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,3,14.6667,0.0094,0.0094
cefotaxime,random_forest_balanced,amr__mrx,mrx,3,15.3333,0.0096,0.0096
cefotaxime,random_forest_balanced,amr__sul1,sul1,2,12.5,0.0113,0.0113
cefotaxime,random_forest_balanced,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,2,14.0,0.011,0.011
cefotaxime,random_forest_balanced,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,2,16.5,0.0094,0.0094
cefotaxime,random_forest_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,2,16.5,0.0092,0.0092
cefotaxime,random_forest_balanced,amr__vgac,vgac,2,16.5,0.0085,0.0085
cefotaxime,random_forest_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,1,16.0,0.0092,0.0092
cefotaxime,random_forest_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,1,16.0,0.0089,0.0089
cefotaxime,random_forest_balanced,amr__mpha_family,mpha_family,1,17.0,0.0098,0.0098
cefotaxime,random_forest_balanced,amr__qnrs1,qnrs1,1,18.0,0.0078,0.0078
cefotaxime,random_forest_balanced,amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,1,19.0,0.0083,0.0083
cefotaxime,random_forest_balanced,amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,1,19.0,0.0076,0.0076
cefotaxime,random_forest_balanced,amr__catb3,catb3,1,20.0,0.0073,0.0073
cefotaxime,random_forest_balanced,amr__multispecies_tetracycline_efflux_mfs_transporter_teta,multispecies_tetracycline_efflux_mfs_transporter_teta,1,20.0,0.007,0.007
