antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,1072,14.659
ciprofloxacin,amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,963,13.168
ciprofloxacin,amr__escherichia_coli_ampc_beta-lactamase,45,0.615
ciprofloxacin,amr__escherichia_coli_cyaa_with_mutation_conferring_resistance_to_fosfomycin,194,2.653
ciprofloxacin,amr__escherichia_coli_ef-tu_mutants_conferring_resistance_to_pulvomycin,1039,14.208
ciprofloxacin,amr__escherichia_coli_emre,840,11.486
ciprofloxacin,amr__escherichia_coli_fabi_mutations_conferring_resistance_to_isoniazid_and_triclosan,1,0.014
ciprofloxacin,amr__escherichia_coli_glpt_with_mutation_conferring_resistance_to_fosfomycin,973,13.305
ciprofloxacin,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,293,4.007
ciprofloxacin,amr__escherichia_coli_gyra_with_mutation_conferring_resistance_to_triclosan,3,0.041
ciprofloxacin,amr__escherichia_coli_mdfa,1005,13.743
ciprofloxacin,amr__escherichia_coli_nfsa_mutations_conferring_resistance_to_nitrofurantoin,3,0.041
ciprofloxacin,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,220,3.008
ciprofloxacin,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,127,1.737
ciprofloxacin,amr__escherichia_coli_soxr_with_mutation_conferring_antibiotic_resistance,978,13.373
ciprofloxacin,amr__escherichia_coli_soxs_with_mutation_conferring_antibiotic_resistance,1034,14.139
ciprofloxacin,amr__escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,275,3.76
ciprofloxacin,amr__escherichia_colistin_resistant_pmrb,38,0.52
ciprofloxacin,amr__escherichia_fosfomycin_resistant_glpt,990,13.538
ciprofloxacin,amr__escherichia_fosfomycin_resistant_ptsi,128,1.75
ciprofloxacin,amr__escherichia_fosfomycin_resistant_uhpt,300,4.102
ciprofloxacin,amr__escherichia_fosmidomycin_resistant_cyaa,182,2.489
ciprofloxacin,amr__escherichia_nitrofurantoin_resistant_nfsa,15,0.205
ciprofloxacin,amr__escherichia_quinolone_resistant_gyra,486,6.646
ciprofloxacin,amr__escherichia_quinolone_resistant_parc,323,4.417
ciprofloxacin,amr__escherichia_quinolone_resistant_pare,264,3.61
ciprofloxacin,amr__escherichia_quinolonetriclosan_resistant_gyra,2,0.027
ciprofloxacin,amr__escherichia_rifampin_resistant_rpob,1,0.014
ciprofloxacin,amr__escherichia_rifamycin_resistant_rpob,0,0.0
ciprofloxacin,amr__estx,3,0.041
ciprofloxacin,amr__etsa,1,0.014
ciprofloxacin,amr__etsb,1,0.014
